team,region,country,track,status,year,url
HK_SSC,Asia,Hong Kong,High School,Accepted,2019,https://2019.igem.org/Team:HK_SSC/Description
HNU_China,Asia,China,Environment,Accepted,2014,https://2014.igem.org/Team:HNU_China/Description
HokkaidoU_Japan,Asia,Japan,Health & Medicine,Accepted,2010,https://2010.igem.org/Team:HokkaidoU_Japan/Description
HokkaidoU_Japan,Asia,Japan,New Application,Accepted,2011,https://2011.igem.org/Team:HokkaidoU_Japan/Description
HokkaidoU_Japan,Asia,Japan,Manufacturing,Accepted,2012,https://2012.igem.org/Team:HokkaidoU_Japan/Description
HokkaidoU_Japan,Asia,Japan,Foundational Advance,Accepted,2013,https://2013.igem.org/Team:HokkaidoU_Japan/Description
HokkaidoU_Japan,Asia,Japan,Foundational Advance,Accepted,2014,https://2014.igem.org/Team:HokkaidoU_Japan/Description
HokkaidoU_Japan,Asia,Japan,Health & Medicine,Accepted,2015,https://2015.igem.org/Team:HokkaidoU_Japan/Description
HokkaidoU_Japan,Asia,Japan,Foundational Advance,Accepted,2016,https://2016.igem.org/Team:HokkaidoU_Japan/Description
HokkaidoU_Japan,Asia,Japan,Environment,Accepted,2017,https://2017.igem.org/Team:HokkaidoU_Japan/Description
Hong_Kong-CUHK,Asia,Hong Kong,New Application,Accepted,2010,https://2010.igem.org/Team:Hong_Kong-CUHK/Description
Hong_Kong-CUHK,Asia,Hong Kong,Foundational Advance,Accepted,2011,https://2011.igem.org/Team:Hong_Kong-CUHK/Description
Hong_Kong-CUHK,Asia,Hong Kong,Foundational Advance,Accepted,2012,https://2012.igem.org/Team:Hong_Kong-CUHK/Description
Hong_Kong-CUHK,Asia,Hong Kong,New Application,Accepted,2014,https://2014.igem.org/Team:Hong_Kong-CUHK/Description
Hong_Kong-CUHK,Asia,Hong Kong,New Application,Accepted,2015,https://2015.igem.org/Team:Hong_Kong-CUHK/Description
Hong_Kong-CUHK,Asia,Hong Kong,Diagnostics,Accepted,2017,https://2017.igem.org/Team:Hong_Kong-CUHK/Description
Hong_Kong-CUHK,Asia,Hong Kong,Diagnostics,Accepted,2018,https://2018.igem.org/Team:Hong_Kong-CUHK/Description
